python2-notify 0.1.1-13
python2-olefile 0.43-2
python2-packaging 16.8-2
python2-pillow 4.0.0-2
python2-psutil 5.1.0-1
python2-pyalsaaudio 0.8.2-1
python2-pyparsing 2.1.10-2
python2-setuptools 1:34.1.1-1
python2-six 1.10.0-3
qt4 4.8.7-12
qt5-base 5.8.0-3
qt5-declarative 5.8.0-1
qt5-multimedia 5.8.0-1
qt5-speech 5.8.0-2
qt5-x11extras 5.8.0-1
qt5-xmlpatterns 5.8.0-1
randrproto 1.5.0-1
raptor 2.0.15-5
rasqal 1:0.9.33-1
re2 20170101-1
readline 7.0.001-1
recode 3.6-9
recordmydesktop 0.3.8.1-7
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rofi 1.3.1-1
rp-pppoe 3.12-1
rsync 3.1.2-2
rtmpdump 1:2.4.r96.fa8646d-2
ruby 2.4.0-1
ruby-atk 3.1.1-1
ruby-cairo 1.15.5-1
ruby-gdk_pixbuf2 3.1.1-1
ruby-gio2 3.1.1-1
ruby-glib2 3.1.1-1
ruby-gobject-introspection 3.1.1-1
ruby-gtk2 3.1.1-1
ruby-maruku 0.7.2-3
ruby-pango 3.1.1-1
ruby-pkg-config 1.1.7-2
ruby-sass 3.4.22-1
ruby-yard 0.8.7.6-1
run-parts 4.8.1-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.16-1
schroedinger 1.0.11-3
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sddm 0.14.0-2
sdl 1.2.15-7
sdl2 2.0.5-2
sdl_image 1.2.12-3
sed 4.3-1
serf 1.3.9-1
shadow 4.4-3
shared-mime-info 1.7-1
slang 2.3.1a-1
slimlock 1.3.6-1
smbclient 4.5.4-1
snappy 1.1.3-2
sound-theme-freedesktop 0.8-2
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.16.2-1
squashfs-tools 4.3-4
startup-notification 0.12-4
subversion 1.9.5-2
sudo 1.8.19.p2-1
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
t1lib 5.1.2-5
taglib 1.11.1-1
talloc 2.1.8-1
tar 1.29-2
tdb 1.3.12-1
terminator 1.90-1
termite 12-1
termite-terminfo 12-1
tevent 1:0.9.31-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
thunar 1.6.10-3
thunar-archive-plugin 0.3.1-6
tint2 0.12.12-1
tslib 1.4-1
ttf-dejavu 2.37-1
ttf-monaco 6.1-3
tzdata 2016j-1
udisks2 2.1.8-1
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.29.1-1
v4l-utils 1.10.1-1
vala 0.34.4-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0237-1
vim-runtime 8.0.0237-1
vlc 2.2.4-7
volti 0.2.3-5
volumeicon 0.5.1-1
vte 0.28.2-8
vte-common 0.46.1-1
vte3-ng 0.46.1.a-1
w3m 0.5.3.git20170102-1
wayland 1.12.0-1
wayland-protocols 1.7-1
webkit2gtk 2.14.3-1
webkitgtk 2.4.11-4
wget 1.18-3
which 2.21-2
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-4
x265 2.2-1
xarchiver 0.5.4.7-1
xbitmaps 1.1.1-3
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xdg-utils 1.1.1-5
xextproto 7.3.0-1
xf86-input-libinput 0.23.0-1
xf86-input-synaptics 1.9.0-1
xf86-video-nouveau 1.0.13-2
xf86-video-vesa 2.3.4-3
xf86dgaproto 2.1-3
xf86miscproto 0.9.3-1
xf86vidmodeproto 2.3.1-3
xfce4-appfinder 4.12.0-4
xfce4-notifyd 0.3.4-1
xfce4-panel 4.12.1-1
xfce4-power-manager 1.6.0.41.g9daecb5-1
xfce4-pulseaudio-plugin 0.2.4-5
xfce4-screenshooter 1.8.2-3
xfce4-settings 4.12.1-1
xfce4-xkb-plugin 0.7.1-2
xfconf 4.12.1-1
xfsprogs 4.9.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.20-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-7
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.1-1
xorg-server-common 1.19.1-1
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-twm 1.0.9-1
xorg-utils 7.6-9
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xedit 1.2.2-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwininfo 1.1.3-1
xproto 7.0.31-1
xterm 327-1
xvidcore 1.3.4-1
xz 5.2.3-1
yad 0.38.2-1
yajl 2.1.0-1
yaourt 1.8.1-1
zd1211-firmware 1.5-1
zenity 3.22.0+1+gcd1647c-1
zeromq 4.2.0-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-1
zvbi 0.2.35-1
